track_id_clean,plays,skip_1,skip_2,skip_3,not_skipped,not_skipped_pct,duration,release_year,us_popularity_estimate,acousticness,beat_strength,bounciness,danceability,dyn_range_mean,energy,flatness,instrumentalness,key,liveness,loudness,mechanism,mode,organism,speechiness,tempo,time_signature,valence,acoustic_vector_0,acoustic_vector_1,acoustic_vector_2,acoustic_vector_3,acoustic_vector_4,acoustic_vector_5,acoustic_vector_6,acoustic_vector_7
t_00750953-913d-4950-94a2-285b662c32f3,148,55,77,97,49,0.3310810810810811,175.77464294433594,2018,99.9989819002942,0.012125713750720024,0.8859758377075195,0.9271444082260132,0.9323004484176636,19.970088958740234,0.48058801889419556,1.0431790351867676,4.971811431460083e-4,1,0.09703890234231949,-9.49899959564209,0.866310179233551,minor,0.0949210375547409,0.1621667742729187,142.0780029296875,4,0.19672542810440063,-0.7393926382064819,0.26474738121032715,0.17072129249572754,0.11444408446550369,-0.2829899787902832,-0.03833172097802162,-0.39955514669418335,0.16300566494464874
t_01d0b9bd-9b4c-4245-8e9e-1dd6b09be4b8,94,33,44,63,1,0.010638297872340425,183.90667724609375,2017,99.99821792342176,0.193644717335701,0.6366841197013855,0.6364808082580566,0.7292919754981995,8.971728324890137,0.6247844099998474,1.0473066568374634,0.009864331223070621,4,0.24785670638084412,-5.265999794006348,0.7881137132644653,major,0.20297053456306458,0.03152940049767494,146.03399658203125,4,0.2606505751609802,-0.8324355483055115,0.2644021809101105,0.17974932491779327,0.16610398888587952,-0.2494678646326065,-0.08062221109867096,-0.47498053312301636,0.12281982600688934
t_01d7104d-d28c-4c56-9012-d22ef2b8bdc9,53,15,25,28,24,0.4528301886792453,195.5189971923828,2018,99.99978769484808,0.002811537589877844,0.496197372674942,0.4455178380012512,0.6304824948310852,6.607256889343262,0.6942845582962036,1.031873106956482,1.266271254518614e-10,11,0.07186584919691086,-6.256999969482422,0.7737226486206055,minor,0.16001461446285248,0.025284189730882645,97.00499725341797,4,0.21593312919139862,-0.4572901725769043,0.5148367285728455,0.401061475276947,-0.2414875030517578,-0.41646328568458557,0.17800913751125336,-0.10984338819980621,-0.009463801980018616
t_0214ad9b-a913-43f4-9111-0c04f5405449,58,30,40,46,11,0.1896551724137931,204.60000610351562,2017,99.99947888735437,0.010180771350860596,0.69392329454422,0.7632633447647095,0.8328703045845032,11.64612865447998,0.434434175491333,1.0759212970733643,0.021907417103648186,2,0.1653941571712494,-8.795000076293945,0.7720929980278015,major,0.16131527721881866,0.4310157299041748,150.06199645996094,4,0.2811259627342224,-0.7287487983703613,0.2342471033334732,0.1714807152748108,0.1480773687362671,-0.19147036969661713,-0.017911052331328392,-0.3936309218406677,0.13003148138523102
t_0303b567-f375-430c-9457-d41ccfbcdc59,56,20,28,30,26,0.4642857142857143,99.65831756591797,2018,99.99907357751889,0.975538969039917,0.369314044713974,0.37449944019317627,0.35596808791160583,6.532290458679199,0.14293994009494781,1.0578091144561768,1.888138649519533e-5,9,0.11054670065641403,-15.14799976348877,0.2110091745853424,major,0.8871817588806152,0.03882123529911041,75.522003173828125,4,0.3342691957950592,-0.018787560984492302,0.1626283973455429,0.0370539166033268,-0.28592291474342346,0.08372336626052856,0.1305694580078125,-0.23987442255020142,-0.23911865055561066
t_043b7b1a-444f-4d1c-9b46-c83895cb4d47,112,43,47,64,47,0.41964285714285715,204.42666625976562,2018,99.99975552740082,0.41397151350975037,0.3133207857608795,0.31892305612564087,0.4793660640716553,6.058624744415283,0.4681117832660675,1.02632737159729,5.543837056087852e-10,5,0.14812608063220978,-5.395999908447266,0.3122529685497284,major,0.5676127076148987,0.02740655280649662,85.91300201416016,4,0.3496067225933075,-0.14557664096355438,0.4947271943092346,0.07429151982069016,-0.5329427719116211,0.01245799195021391,0.20996087789535522,-0.38242894411087036,0.001761498162522912
t_06d73d42-e69d-4463-aec6-d41b9b0a344c,82,37,48,59,22,0.2682926829268293,212.50076293945312,2018,99.99318210955309,0.02983066998422146,0.45736581087112427,0.526023805141449,0.5771809220314026,8.446307182312012,0.6147457361221313,1.040618658065796,1.7717657896376693e-10,1,0.09691580384969711,-8.741000175476074,0.208480566740036,major,0.5600861310958862,0.12984132766723633,94.05000305175781,4,0.11247007548809052,-0.9128690361976624,0.34012386202812195,0.24611280858516693,0.07642537355422974,-0.3607725501060486,-0.010341821238398552,-0.59862518310546875,0.1959257274866104
t_07c2fcd3-bbe5-4982-90f8-ba83fb6b0a71,79,31,35,47,30,0.379746835443038,207.25550842285156,2018,99.98323754323245,0.16618451476097107,0.6966937780380249,0.7347805500030518,0.7929422855377197,10.694766998291016,0.5892317295074463,1.0388447046279907,2.3176438546101963e-8,8,0.12345083057880402,-5.26800012588501,0.7555555701255798,minor,0.2090100198984146,0.1912722885608673,149.9149932861328,4,0.4981972575187683,-0.9234118461608887,0.32075023651123047,0.23719236254692078,0.1402425318956375,-0.2719956338405609,-0.031683601438999176,-0.5470885038375854,0.1442122459411621
t_08cd802c-6e6f-42a1-a3e9-7b937513cc41,79,43,49,58,19,0.24050632911392406,163.1999969482422,2018,99.99897225006002,0.0966448113322258,0.7968707084655762,0.8010411262512207,0.8746228814125061,11.251254081726074,0.8777924180030823,0.9805207252502441,1.691821571725427e-9,8,0.33256787061691284,-5.357999801635742,0.8438818454742432,major,0.12983275949954987,0.1786876618862152,100.04199981689453,4,0.38054734468460083,-0.9112085700035095,0.3093254864215851,0.19856178760528564,0.1589718461036682,-0.2791598439216614,-0.048652466386556625,-0.5606646537780762,0.1449000984430313
t_0d161c7e-72f1-477a-b270-e6e31684ce26,56,25,29,34,22,0.39285714285714285,221.74697875976562,2017,99.99969762599575,0.6171661019325256,0.6679350733757019,0.6372618079185486,0.7033601999282837,8.636048316955566,0.7566555142402649,1.0190823078155518,8.985459598598311e-10,1,0.10617857426404953,-3.611999988555908,0.6225680708885193,major,0.5115412473678589,0.04997851699590683,82.00800323486328,4,0.6961727142333984,-0.8951307535171509,0.41138124465942383,0.3096441626548767,0.01691330038011074,-0.29294654726982117,0.06654203683137894,-0.5316774845123291,0.18231138586997986
